title,summary,starring,director,genre
Christmas Made to Order ,"""A Hallmark Channel original movie. When architect and Christmas amateur Steven (Jonathan Bennett) finds himself hosting his family for Christmas, he recruits holiday coordinator Gretchen (Alexa PenaVega) to bring holiday joy to his home.""","""Alexa PenaVega, Jonathan Bennett, Jo Marie Payton, Jacob Young""",Sam Irvin,Romance
The Charm Bracelet ,"""A jewelry designer finds a charm bracelet and teams up with a magazine reporter to locate its rightful owner by Christmas Eve.""","""Ashley Greene, Brendan Penny, Britt Irvin, Barclay Hope""",Rich Newer,Romance
Christmas Getaway ,""" travel writer takes a Christmas vacation, but finds herself double-booked with a widower, his mother, and his daughter at the holiday site.""","""Bridget Regan, Travis Van Winkle, Raven Stewart, Teryl Rothery""",Mel Damski ,"""Drama, Romance"""
Good Morning Christmas! ,"""Two squabbling TV hosts are sent to a festive small town over Christmas. While pretending to get along for the sake of appearances, they discover there's more to each other than they thought.""","""Alison Sweeney, Marc Blucas, Nicole Oliver, Matthew James Dowden""",Paul Ziller,"""Drama, Romance"""
A Shoe Addict's Christmas ,"""Noelle's life stopped when her boyfriend broke up with her on Christmas Eve three years ago. A handsome fireman moves in above her. She gets locked in at work in a department store all alone save the ghost of Christmas past.""","""Candace Cameron Bure, Luke Macfarlane, Jean Smart, Tenika Davis""",Michael Robison  ,"""Fantasy, Romance"""
Karen Kingsbury's Maggie's Christmas Miracle ,"""Maggie, a single mom has to balance between her career and her son, Jordan. Jordan finds a tutor named Casey to help him at school, and Casey becomes like a father figure. Will the three of them find happiness and love once again?""","""Jill Wagner, Luke Macfarlane, Lauren Guci, Laura Soltis""",Michael Robison  ,"""Drama, Family, Romance"""
Naughty or Nice ,"""A down-on-her-luck advertising executive becomes the custodian of Santa's famous 'Naughty or Nice' list.""","""Hilarie Burton, Matt Dallas, Gabriel Tigerman, Meredith Baxter""",David Mackay,"""Comedy, Drama, Fantasy"""
Christmas in Vienna ,"""Jess, a concert violinist whose heart just isn't in it anymore, goes to Vienna for a performance. While there, she finds the inspiration she has been missing, and a new love.""","""Sarah Drew, Brennan Elliott, Alina Fritsch, Allegra Tinnefeld""",Maclain Nelson,"""Drama, Romance"""
12 Gifts of Christmas ,"""With two more weeks until Christmas, a busy business man, Marc Rehnquist, hires a struggling artist, Anna Parisi, to help him pick out gifts for his friends and family.""","""Katrina Law, Aaron O'Connell, Donna Mills, Melanie Nelson""",Peter Sullican,"""Comedy, Romance"""
Holiday Date ,"""After a woman's boyfriend breaks up with her right before the holidays, she agrees to go home with an actor who will pose as her boyfriend.""","""Matt Cohen, Brittany Bristow, Teryl Rothery, Bruce Boxleitner""",Jeff Beesley,"""Comedy, Drama, Romance"""
Christmas Land ,"""After inheriting a Christmas tree farm, a woman's plans to sell it change when she falls in love with the townspeople and meets a charming lawyer named Tucker.""","""Nikki Deloach, Luke Macfarlane, Maureen McCormick, Cynthia Gibb""",Sam Irvin,"""Comedy, Drama, Family"""
Cross Country Christmas ,"""Snowstorm threatens both Lina's and Max's holiday plans. They are forced to work together to figure out a way home - without taking it out on each other.""","""Rachael Leigh Cook, Greyston Holt, Jon Cor, Robyn Bradley""",Catherine Cyran,"""Comedy, Romance"""
A Bride for Christmas,"""A single man tries to win a bet by getting a woman recovering from a broken engagement to marry him by Christmas.""","""Arielle Kebbel, Andrew W. Walker, Kimberley Sustad, Sage Brocklebank""",Gary Yates,"""Comedy, Romance"""
